source,periodType,date,instrument,period,price,ws
OCEAN,Spot,2025-07-21,TD3C,2025-07-01,11.2934,52.35
OCEAN,Balmo,2025-07-21,TD3C,2025-07-01,11.57,53.59
OCEAN,Months,2025-07-21,TD3C,2025-07-01,11.11,51.5
OCEAN,Months,2025-07-21,TD3C,2025-08-01,12.08,56.0
OCEAN,Months,2025-07-21,TD3C,2025-09-01,12.62,58.5
OCEAN,Spot,2025-07-21,TD20,2025-07-01,14.668,86.39
OCEAN,Balmo,2025-07-21,TD20,2025-07-01,13.96,82.24
OCEAN,Months,2025-07-21,TD20,2025-07-01,14.05,82.75
OCEAN,Months,2025-07-21,TD20,2025-08-01,13.75,81.0
OCEAN,Months,2025-07-21,TD20,2025-09-01,13.75,81.0
OCEAN,Spot,2025-07-21,TD22,2025-07-01,27.41,7.4
OCEAN,Balmo,2025-07-21,TD22,2025-07-01,27.3611,7.3875
OCEAN,Months,2025-07-21,TD22,2025-07-01,27.037,7.3
OCEAN,Months,2025-07-21,TD22,2025-08-01,26.2963,7.1
OCEAN,Months,2025-07-21,TD22,2025-09-01,25.5556,6.9
OCEAN,Spot,2025-07-21,TD25,2025-07-01,23.92,111.09
OCEAN,Balmo,2025-07-21,TD25,2025-07-01,25.39,117.93
OCEAN,Months,2025-07-21,TD25,2025-07-01,26.82,124.59
OCEAN,Months,2025-07-21,TD25,2025-08-01,27.58,128.09
OCEAN,Months,2025-07-21,TD25,2025-09-01,26.93,125.09
OCEAN,Months,2025-07-21,TD3C,2025-10-01,13.81,64.0
OCEAN,Months,2025-07-21,TD3C,2025-11-01,13.81,64.0
OCEAN,Months,2025-07-21,TD3C,2025-12-01,13.81,64.0
OCEAN,Months,2025-07-21,TD3C,2026-01-01,12.5,57.92
OCEAN,Months,2025-07-21,TD3C,2026-02-01,12.5,57.92
OCEAN,Months,2025-07-21,TD3C,2026-03-01,12.5,57.92
OCEAN,Months,2025-07-21,TD3C,2026-04-01,11.9,55.14
OCEAN,Months,2025-07-21,TD3C,2026-05-01,11.9,55.14
OCEAN,Months,2025-07-21,TD3C,2026-06-01,11.9,55.14
OCEAN,Months,2025-07-21,TD20,2025-10-01,14.94,88.0
OCEAN,Months,2025-07-21,TD20,2025-11-01,14.94,88.0
OCEAN,Months,2025-07-21,TD20,2025-12-01,14.94,88.0
OCEAN,Months,2025-07-21,TD20,2026-01-01,14.08,82.92
OCEAN,Months,2025-07-21,TD20,2026-02-01,14.08,82.92
OCEAN,Months,2025-07-21,TD20,2026-03-01,14.08,82.92
OCEAN,Months,2025-07-21,TD20,2026-04-01,12.05,70.97
OCEAN,Months,2025-07-21,TD20,2026-05-01,12.05,70.97
OCEAN,Months,2025-07-21,TD20,2026-06-01,12.05,70.97
OCEAN,Months,2025-07-21,TD22,2025-10-01,29.6296,8.0
OCEAN,Months,2025-07-21,TD22,2025-11-01,29.6296,8.0
OCEAN,Months,2025-07-21,TD22,2025-12-01,29.6296,8.0
OCEAN,Months,2025-07-21,TD22,2026-01-01,26.8519,7.25
OCEAN,Months,2025-07-21,TD22,2026-02-01,26.8519,7.25
OCEAN,Months,2025-07-21,TD22,2026-03-01,26.8519,7.25
OCEAN,Months,2025-07-21,TD22,2026-04-01,25.5556,6.9
OCEAN,Months,2025-07-21,TD22,2026-05-01,25.5556,6.9
OCEAN,Months,2025-07-21,TD22,2026-06-01,25.5556,6.9
OCEAN,Months,2025-07-21,TD25,2025-10-01,29.08,135.09
OCEAN,Months,2025-07-21,TD25,2025-11-01,29.08,135.09
OCEAN,Months,2025-07-21,TD25,2025-12-01,29.08,135.09
OCEAN,Months,2025-07-21,TD25,2026-01-01,26.36,122.43
OCEAN,Months,2025-07-21,TD25,2026-02-01,26.36,122.43
OCEAN,Months,2025-07-21,TD25,2026-03-01,26.36,122.43
OCEAN,Months,2025-07-21,TD25,2026-04-01,24.06,111.75
OCEAN,Months,2025-07-21,TD25,2026-05-01,24.06,111.75
OCEAN,Months,2025-07-21,TD25,2026-06-01,24.06,111.75
OCEAN,Months,2025-07-21,TD3C,2026-07-01,11.7,54.22
OCEAN,Months,2025-07-21,TD3C,2026-08-01,11.7,54.22
OCEAN,Months,2025-07-21,TD3C,2026-09-01,11.7,54.22
OCEAN,Months,2025-07-21,TD3C,2026-10-01,11.7,54.22
OCEAN,Months,2025-07-21,TD3C,2026-11-01,11.7,54.22
OCEAN,Months,2025-07-21,TD3C,2026-12-01,11.7,54.22
OCEAN,Months,2025-07-21,TD3C,2027-01-01,11.0,50.97
OCEAN,Months,2025-07-21,TD3C,2027-02-01,11.0,50.97
OCEAN,Months,2025-07-21,TD3C,2027-03-01,11.0,50.97
OCEAN,Months,2025-07-21,TD3C,2027-04-01,11.0,50.97
OCEAN,Months,2025-07-21,TD3C,2027-05-01,11.0,50.97
OCEAN,Months,2025-07-21,TD3C,2027-06-01,11.0,50.97
OCEAN,Months,2025-07-21,TD3C,2027-07-01,11.0,50.97
OCEAN,Months,2025-07-21,TD3C,2027-08-01,11.0,50.97
OCEAN,Months,2025-07-21,TD3C,2027-09-01,11.0,50.97
OCEAN,Months,2025-07-21,TD3C,2027-10-01,11.0,50.97
OCEAN,Months,2025-07-21,TD3C,2027-11-01,11.0,50.97
OCEAN,Months,2025-07-21,TD3C,2027-12-01,11.0,50.97
OCEAN,Months,2025-07-21,TD20,2026-07-01,12.57,74.03
OCEAN,Months,2025-07-21,TD20,2026-08-01,12.57,74.03
OCEAN,Months,2025-07-21,TD20,2026-09-01,12.57,74.03
OCEAN,Months,2025-07-21,TD20,2026-10-01,12.57,74.03
OCEAN,Months,2025-07-21,TD20,2026-11-01,12.57,74.03
OCEAN,Months,2025-07-21,TD20,2026-12-01,12.57,74.03
OCEAN,Months,2025-07-21,TD20,2027-01-01,11.5,67.73
OCEAN,Months,2025-07-21,TD20,2027-02-01,11.5,67.73
