source,periodType,date,instrument,period,price,ws
OCEAN,Months,2025-06-20,TD3C,2027-12-01,11.0,50.97
OCEAN,Months,2025-06-20,TD20,2026-07-01,11.7,68.9
OCEAN,Months,2025-06-20,TD20,2026-08-01,11.7,68.9
OCEAN,Months,2025-06-20,TD20,2026-09-01,11.7,68.9
OCEAN,Months,2025-06-20,TD20,2026-10-01,11.7,68.9
OCEAN,Months,2025-06-20,TD20,2026-11-01,11.7,68.9
OCEAN,Months,2025-06-20,TD20,2026-12-01,11.7,68.9
OCEAN,Months,2025-06-20,TD20,2027-01-01,11.0,64.78
OCEAN,Months,2025-06-20,TD20,2027-02-01,11.0,64.78
OCEAN,Months,2025-06-20,TD20,2027-03-01,11.0,64.78
OCEAN,Months,2025-06-20,TD20,2027-04-01,11.0,64.78
OCEAN,Months,2025-06-20,TD20,2027-05-01,11.0,64.78
OCEAN,Months,2025-06-20,TD20,2027-06-01,11.0,64.78
OCEAN,Months,2025-06-20,TD20,2027-07-01,11.0,64.78
OCEAN,Months,2025-06-20,TD20,2027-08-01,11.0,64.78
OCEAN,Months,2025-06-20,TD20,2027-09-01,11.0,64.78
OCEAN,Months,2025-06-20,TD20,2027-10-01,11.0,64.78
OCEAN,Months,2025-06-20,TD20,2027-11-01,11.0,64.78
OCEAN,Months,2025-06-20,TD20,2027-12-01,11.0,64.78
OCEAN,Months,2025-06-20,TD22,2026-07-01,25.9259,7.0
OCEAN,Months,2025-06-20,TD22,2026-08-01,25.9259,7.0
OCEAN,Months,2025-06-20,TD22,2026-09-01,25.9259,7.0
OCEAN,Months,2025-06-20,TD22,2026-10-01,25.9259,7.0
OCEAN,Months,2025-06-20,TD22,2026-11-01,25.9259,7.0
OCEAN,Months,2025-06-20,TD22,2026-12-01,25.9259,7.0
OCEAN,Months,2025-06-20,TD22,2027-01-01,24.4444,6.6
OCEAN,Months,2025-06-20,TD22,2027-02-01,24.4444,6.6
OCEAN,Months,2025-06-20,TD22,2027-03-01,24.4444,6.6
OCEAN,Months,2025-06-20,TD22,2027-04-01,24.4444,6.6
OCEAN,Months,2025-06-20,TD22,2027-05-01,24.4444,6.6
OCEAN,Months,2025-06-20,TD22,2027-06-01,24.4444,6.6
OCEAN,Months,2025-06-20,TD22,2027-07-01,24.4444,6.6
OCEAN,Months,2025-06-20,TD22,2027-08-01,24.4444,6.6
OCEAN,Months,2025-06-20,TD22,2027-09-01,24.4444,6.6
OCEAN,Months,2025-06-20,TD22,2027-10-01,24.4444,6.6
OCEAN,Months,2025-06-20,TD22,2027-11-01,24.4444,6.6
OCEAN,Months,2025-06-20,TD22,2027-12-01,24.4444,6.6
OCEAN,Months,2025-06-20,TD25,2026-07-01,23.68,109.99
OCEAN,Months,2025-06-20,TD25,2026-08-01,23.68,109.99
OCEAN,Months,2025-06-20,TD25,2026-09-01,23.68,109.99
OCEAN,Months,2025-06-20,TD25,2026-10-01,23.68,109.99
