period,oldName,newName,periodType
Spot,spot,spot,Spot
Balmo,balmo,balmo,Balmo
26-Jul,7/1/2026,7/1/2026,Months
26-Aug,8/1/2026,8/1/2026,Months
26-Sep,9/1/2026,9/1/2026,Months
26-Oct,10/1/2026,10/1/2026,Months
26-Nov,11/1/2026,11/1/2026,Months
26-Dec,12/1/2026,12/1/2026,Months
27-Jan,1/1/2027,1/1/2027,Months
27-Feb,2/1/2027,2/1/2027,Months
27-Mar,3/1/2027,3/1/2027,Months
27-Apr,4/1/2027,4/1/2027,Months
27-May,5/1/2027,5/1/2027,Months
27-Jun,6/1/2027,6/1/2027,Months
27-Jul,7/1/2027,7/1/2027,Months
27-Aug,8/1/2027,8/1/2027,Months
27-Sep,9/1/2027,9/1/2027,Months
27-Oct,10/1/2027,10/1/2027,Months
27-Nov,11/1/2027,11/1/2027,Months
27-Dec,12/1/2027,12/1/2027,Months
28-Jan,1/1/2028,1/1/2028,Months
28-Feb,2/1/2028,2/1/2028,Months
28-Mar,3/1/2028,3/1/2028,Months
28-Apr,4/1/2028,4/1/2028,Months
28-May,5/1/2028,5/1/2028,Months
28-Jun,6/1/2028,6/1/2028,Months
28-Jul,7/1/2028,7/1/2028,Months
28-Aug,8/1/2028,8/1/2028,Months
28-Sep,9/1/2028,9/1/2028,Months
28-Oct,10/1/2028,10/1/2028,Months
28-Nov,11/1/2028,11/1/2028,Months
28-Dec,12/1/2028,12/1/2028,Months
29-Jan,1/1/2029,1/1/2029,Months
Feb-29,2/1/2029,2/1/2029,Months
29-Mar,3/1/2029,3/1/2029,Months
29-Apr,4/1/2029,4/1/2029,Months
29-May,5/1/2029,5/1/2029,Months
29-Jun,6/1/2029,6/1/2029,Months
29-Jul,7/1/2029,7/1/2029,Months
29-Aug,8/1/2029,8/1/2029,Months
29-Sep,9/1/2029,9/1/2029,Months
29-Oct,10/1/2029,10/1/2029,Months
29-Nov,11/1/2029,11/1/2029,Months
29-Dec,12/1/2029,12/1/2029,Months
30-Jan,1/1/2030,1/1/2030,Months
Feb-30,2/1/2030,2/1/2030,Months
30-Mar,3/1/2030,3/1/2030,Months
30-Apr,4/1/2030,4/1/2030,Months
30-May,5/1/2030,5/1/2030,Months
30-Jun,6/1/2030,6/1/2030,Months
30-Jul,7/1/2030,7/1/2030,Months
30-Aug,8/1/2030,8/1/2030,Months
30-Sep,9/1/2030,9/1/2030,Months
30-Oct,10/1/2030,10/1/2030,Months
30-Nov,11/1/2030,11/1/2030,Months
30-Dec,12/1/2030,12/1/2030,Months
q1-15,15Q1,1/1/2015,Quarters
q2-15,15Q2,4/1/2015,Quarters
q3-15,15Q3,7/1/2015,Quarters
q4-15,15Q4,10/1/2015,Quarters
q1-16,16Q1,1/1/2016,Quarters
q2-16,16Q2,4/1/2016,Quarters
q3-16,16Q3,7/1/2016,Quarters
q4-16,16Q4,10/1/2016,Quarters
q1-17,17Q1,1/1/2017,Quarters
q2-17,17Q2,4/1/2017,Quarters
q3-17,17Q3,7/1/2017,Quarters
q4-17,17Q4,10/1/2017,Quarters
q1-18,18Q1,1/1/2018,Quarters
q2-18,18Q2,4/1/2018,Quarters
q3-18,18Q3,7/1/2018,Quarters
q4-18,18Q4,10/1/2018,Quarters
q1-19,19Q1,1/1/2019,Quarters
q2-19,19Q2,4/1/2019,Quarters
q3-19,19Q3,7/1/2019,Quarters
q4-19,19Q4,10/1/2019,Quarters
q1-20,20Q1,1/1/2020,Quarters
q2-20,20Q2,4/1/2020,Quarters
q3-20,20Q3,7/1/2020,Quarters
q4-20,20Q4,10/1/2020,Quarters
q1-21,21Q1,1/1/2021,Quarters
q2-21,21Q2,4/1/2021,Quarters
q3-21,21Q3,7/1/2021,Quarters
q4-21,21Q4,10/1/2021,Quarters
q1-22,22Q1,1/1/2022,Quarters
q2-22,22Q2,4/1/2022,Quarters
q3-22,22Q3,7/1/2022,Quarters
q4-22,22Q4,10/1/2022,Quarters
q1-23,23Q1,1/1/2023,Quarters
q2-23,23Q2,4/1/2023,Quarters
q3-23,23Q3,7/1/2023,Quarters
q4-23,23Q4,10/1/2023,Quarters
q1-24,24Q1,1/1/2024,Quarters
q2-24,24Q2,4/1/2024,Quarters
q3-24,24Q3,7/1/2024,Quarters
q4-24,24Q4,10/1/2024,Quarters
q1-25,25Q1,1/1/2025,Quarters
q2-25,25Q2,4/1/2025,Quarters
